Time,Input,Output
0,1,0
3,1,7
8,1,12
13,1,12
18,1,13
23,1,14
28,1,14
33,1,15
37,1,15
43,1,16
48,1,16
53,1,16
58,1,17
63,1,17
68,1,17
73,1,18
77,1,17
82,1,17
88,1,18
93,1,18
98,1,17
103,1,19
108,1,17
113,1,18
118,1,19
122,1,20
128,1,19
133,1,18
138,1,20
143,1,20
148,1,20
153,1,20
158,1,20
162,1,18
167,1,19
173,1,20
178,1,20
183,1,19
188,1,20
193,1,19
198,1,20
203,0,19
207,0,19
212,0,17
218,0,16
223,0,14
228,0,12
233,0,12
238,0,12
243,0,11
248,0,10
252,0,9
258,0,9
263,0,8
268,0,8
273,0,8
278,0,7
283,0,7
288,0,7
292,0,6
297,0,7
303,0,6
308,0,6
313,0,5
318,0,6
323,0,5
328,0,5
333,0,6
337,0,5
343,0,5
348,0,4
353,0,5
358,0,4
363,0,5
368,0,4
373,0,4
377,0,4
382,0,4
388,0,4
393,0,4
398,0,3
403,0,4
408,0,3
413,0,3
418,0,3
422,0,3
428,0,3
433,0,3
438,0,3
443,0,2
448,0,3
453,0,2
458,0,2
462,0,2
467,0,2
473,0,2
478,0,2
483,0,2
488,0,1
493,0,2
498,0,2
503,0,1
507,0,1
513,0,1
518,0,1
523,0,1
528,0,1
533,0,0
538,0,1
543,0,1
547,0,0
552,0,0
558,0,0
563,0,0
568,0,0
573,0,0
578,0,0
583,0,0
588,0,0
592,0,0
598,0,0
603,0,0
608,0,0
613,0,0
618,0,0
623,0,0
628,0,0
632,0,0
637,0,0
643,0,0
648,0,0
653,0,0
658,0,0
663,0,0
668,0,0
673,0,0
677,0,0
683,0,0
688,0,0
693,0,0
698,0,0