Time (Miilseconds),Input,Speed
0,0,4.7
10,0.337255,5
20,0.478431,5.1
30,0.611765,5.8
40,0.733333,6.4
50,0.827451,7.3
60,0.909804,8.2
70,0.968627,9.1
80,1,9.5
90,1,10.4
100,1,11.1
110,1,12.3
120,1,12.9
130,1,13.9
140,0.988235,14.7
150,0.937255,15.4
160,0.878431,16.1
170,0.815686,16.9
180,0.756863,17.8
190,0.694118,18.7
200,0.631373,19
210,0.580392,19.7
220,0.529412,20
230,0.478431,20.5
240,0.427451,21
250,0.388235,21.1
260,0.356863,21.5
270,0.337255,21.9
280,0.32549,22.2
290,0.32549,22.5
300,0.337255,22.4
310,0.34902,22.5
320,0.376471,22.6
330,0.4,22.4
340,0.427451,22.3
350,0.458824,22.7
360,0.490196,22.6
370,0.521569,22.7
380,0.552941,22.4
390,0.580392,22.5
400,0.611765,22.7
410,0.631373,22.4
420,0.65098,22.4
430,0.662745,22.3
440,0.67451,22.4
450,0.682353,22.2
460,0.682353,22.2
470,0.682353,22.2
480,0.682353,21.6
490,0.67451,21.5
500,0.662745,21.3
510,0.65098,21.2
520,0.631373,21.1
530,0.623529,20.9
540,0.603922,21.1
550,0.592157,20.7
560,0.580392,20.8
570,0.572549,20.7
580,0.572549,20.5
590,0.560784,20.3
600,0.552941,20.5
610,0.541176,20.3
620,0.529412,20
630,0.521569,20
640,0.521569,19.8
650,0.509804,20
660,0.509804,19.9
670,0.501961,19.3
680,0.501961,19.8
690,0.501961,19.5
700,0.501961,19.3
710,0.509804,19.7
720,0.521569,19.4
730,0.529412,19.7
740,0.541176,19.5
750,0.552941,19.4
760,0.552941,19.4
770,0.552941,19.4
780,0.552941,19.4
790,0.552941,19.7
800,0.552941,19.4
810,0.552941,19.8
820,0.552941,19.3
830,0.552941,19.6
840,0.560784,20
850,0.572549,19.4
860,0.580392,19.9
870,0.580392,19.5
880,0.592157,20.3
890,0.592157,19.6
900,0.592157,19.4
910,0.592157,19.4
920,0.592157,19.8
930,0.592157,19.6
940,0.580392,20
950,0.572549,19.8
960,0.580392,20
970,0.580392,19.9
980,0.580392,19.9
990,0.580392,19.9
1000,0.572549,20
1010,0.580392,20
1020,0.580392,20.1
1030,0.580392,20
1040,0.572549,20
1050,0.572549,20
1060,0.572549,20
1070,0.560784,20.1
1080,0.560784,20.1
1090,0.560784,19.9
1100,0.560784,20
1110,0.560784,20.2
1120,0.560784,20.1
1130,0.560784,20.1
1140,0.560784,20
1150,0.560784,20.2
1160,0.560784,20
1170,0.560784,20.4
1180,0.560784,20
1190,0.560784,20.2
1200,0.560784,20.2
1210,0.560784,19.8
1220,0.560784,20.1
1230,0.560784,20
1240,0.560784,20.2
1250,0.560784,20.1
1260,0.560784,20
1270,0.560784,20.1
1280,0.560784,20