Time,Input,RPM
0,0,0
0.01,0.337254902,77.41935484
0.02,0.478431373,38.70967742
0.03,0.611764706,30.10752688
0.04,0.733333333,25.80645161
0.05,0.82745098,28.38709677
0.06,0.909803922,25.80645161
0.07,0.968627451,25.80645161
0.08,1,24.19354839
0.09,1,24.37275986
0.1,1,24.51612903
0.11,1,23.46041056
0.12,1,22.58064516
0.13,1,21.83622829
0.14,0.988235294,22.11981567
0.15,0.937254902,21.50537634
0.16,0.878431373,20.96774194
0.17,0.815686275,19.73434535
0.18,0.756862745,18.63799283
0.19,0.694117647,17.65704584
0.2,0.631372549,16.77419355
0.21,0.580392157,15.3609831
0.22,0.529411765,14.6627566
0.23,0.478431373,14.02524544
0.24,0.42745098,13.44086022
0.25,0.388235294,12.38709677
0.26,0.356862745,11.41439206
0.27,0.337254902,10.51373955
0.28,0.325490196,9.677419355
0.29,0.325490196,8.898776418
0.3,0.337254902,8.172043011
0.31,0.349019608,7.90842872
0.32,0.376470588,6.85483871
0.33,0.4,7.038123167
0.34,0.42745098,6.451612903
0.35,0.458823529,6.267281106
0.36,0.490196078,6.093189964
0.37,0.521568627,5.928509154
0.38,0.552941176,5.772495756
0.39,0.580392157,5.624483044
0.4,0.611764706,5.483870968
0.41,0.631372549,5.664830842
0.42,0.650980392,5.529953917
0.43,0.662745098,5.701425356
0.44,0.674509804,5.571847507
0.45,0.682352941,5.448028674
0.46,0.682352941,5.610098177
0.47,0.682352941,5.490734386
0.48,0.682352941,5.376344086
0.49,0.674509804,5.529953917
0.5,0.662745098,5.419354839
0.51,0.650980392,5.313092979
0.52,0.631372549,5.459057072
0.53,0.623529412,5.112598904
0.54,0.603921569,5.256869773
0.55,0.592156863,4.926686217
0.56,0.580392157,4.838709677
0.57,0.57254902,4.753820034
0.58,0.57254902,4.449388209
0.59,0.560784314,4.592673592
0.6,0.552941176,4.516129032
0.61,0.541176471,4.44209413
0.62,0.529411765,4.370447451
0.63,0.521568627,4.301075269
0.64,0.521568627,4.032258065
0.65,0.509803922,4.168734491
0.66,0.509803922,3.910068426
0.67,0.501960784,4.044294656
0.68,0.501960784,3.795066414
0.69,0.501960784,3.740065451
0.7,0.501960784,3.686635945
0.71,0.509803922,3.45297592
0.72,0.521568627,3.405017921
0.73,0.529411765,3.35837384
0.74,0.541176471,3.31299041
0.75,0.552941176,3.268817204
0.76,0.552941176,3.395585739
0.77,0.552941176,3.351487222
0.78,0.552941176,3.308519438
0.79,0.552941176,3.266639445
0.8,0.552941176,3.225806452
0.81,0.552941176,3.185981681
0.82,0.552941176,3.147128245
0.83,0.552941176,3.109211038
0.84,0.560784314,2.91858679
0.85,0.57254902,2.884250474
0.86,0.580392157,2.850712678
0.87,0.580392157,2.966258806
0.88,0.592156863,2.785923754
0.89,0.592156863,2.899601305
0.9,0.592156863,2.867383513
0.91,0.592156863,2.835873804
0.92,0.592156863,2.805049088
0.93,0.592156863,2.77488727
0.94,0.580392157,2.882635553
0.95,0.57254902,2.85229202
0.96,0.580392157,2.553763441
0.97,0.580392157,2.660458929
0.98,0.580392157,2.633311389
0.99,0.580392157,2.606712284
1,0.57254902,2.709677419
1.01,0.580392157,2.427339508
1.02,0.580392157,2.530044276
1.03,0.580392157,2.505480739
1.04,0.57254902,2.605459057
1.05,0.57254902,2.457757296
1.06,0.57254902,2.434570907
1.07,0.560784314,2.532408803
1.08,0.560784314,2.38948626
1.09,0.560784314,2.367564368
1.1,0.560784314,2.346041056
1.11,0.560784314,2.324905551